importance_rank,osm_node_id,latitude,longitude,street_names,betweenness_centrality,demand_level,total_demand_rate,design,design_name,completion_rate,completion_rate_std,avg_waiting_time_s,avg_waiting_time_s_std,avg_queue_length,avg_queue_length_std,throughput_veh_s,throughput_veh_s_std,traffic_efficiency,traffic_efficiency_std,avg_path_time_s,graph_efficiency,completion_rate_change_pct,avg_waiting_time_s_change_pct,avg_queue_length_change_pct,throughput_veh_s_change_pct,traffic_efficiency_change_pct,avg_path_time_s_change_pct,graph_efficiency_change_pct
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,0.1701371889024888,low,0.5,four_way,Existing Signalized Four-Way,0.9380183705883766,0.012728631468770532,10.192985621343901,0.6631380051316684,5.641666666666667,0.40301778289963014,0.46266666666666667,0.009921917377424823,0.8738232446175387,0.008733066209737997,16.0,0.06483638910109499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,0.1701371889024888,low,0.5,roundabout,Roundabout,0.9535450255088199,0.013951928797992445,1.277687366091264,0.12638829823862546,2.574,0.07760727342774584,0.4703333333333333,0.010821788720498627,0.9475322433282811,0.008398974810317431,21.0,0.048957820825669796,1.6552612834974854,-87.46503317520812,-54.37518463810931,1.657060518731986,8.435229797875648,31.25,-24.490210660354354
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,0.1701371889024888,low,0.5,flyover,Flyover,0.9515414012601117,0.01393090419239922,8.499648222146341,0.5880139391266241,4.649333333333333,0.3465714612858043,0.4693333333333333,0.010252370999486468,0.893542239200967,0.007890183844817485,15.833333333333334,0.06563003989474578,1.441659470192755,-16.612771391060797,-17.589364844903997,1.4409221902017264,2.2566342455285735,-1.041666666666663,1.2240823473579088
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,0.1701371889024888,low,0.5,underpass,Underpass,0.9515414012601117,0.01393090419239922,8.499648222146341,0.5880139391266241,4.649333333333333,0.3465714612858043,0.4693333333333333,0.010252370999486468,0.893542239200967,0.007890183844817485,15.833333333333334,0.06563003989474578,1.441659470192755,-16.612771391060797,-17.589364844903997,1.4409221902017264,2.2566342455285735,-1.041666666666663,1.2240823473579088
2,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,0.1164121787025704,low,0.5,four_way,Existing Signalized Four-Way,0.7783491854026077,0.01853884958801186,9.735609174081977,0.6054329795024939,5.560666666666666,0.3760520058597096,0.384,0.013848385385227334,0.7810196901580738,0.013909221706794076,107.0,0.014945751150916144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,0.1164121787025704,low,0.5,roundabout,Roundabout,0.7953841916618523,0.01119455528380139,1.3178316742215057,0.1385320840729927,2.3476666666666666,0.07500074073708278,0.3923333333333333,0.009345230512584117,0.8537841471542119,0.005343866234793772,112.0,0.013554593887968844,2.1886071931112885,-86.46379850857386,-57.78084162570435,2.1701388888888813,9.316596996602094,4.672897196261682,-9.308045135369625
2,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,0.1164121787025704,low,0.5,flyover,Flyover,0.7851874573919472,0.018356329835062978,8.449803474931254,0.5812523102486877,4.581,0.3197370447379812,0.3873333333333333,0.012631530214330944,0.7948127182048706,0.01348542304737738,106.83333333333333,0.014950923921452041,0.8785609489399481,-13.207244417470863,-17.61779163169882,0.8680555555555467,1.766028209097417,-0.15576323987539384,0.034610308198391414
2,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,0.1164121787025704,low,0.5,underpass,Underpass,0.7851874573919472,0.018356329835062978,8.449803474931254,0.5812523102486877,4.581,0.3197370447379812,0.3873333333333333,0.012631530214330944,0.7948127182048706,0.01348542304737738,106.83333333333333,0.014950923921452041,0.8785609489399481,-13.207244417470863,-17.61779163169882,0.8680555555555467,1.766028209097417,-0.15576323987539384,0.034610308198391414
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,0.10910546715626276,low,0.5,four_way,Existing Signalized Four-Way,0.9366760282460341,0.013544169935797728,10.437864336031948,0.6525895741334583,5.7459999999999996,0.382611784682304,0.462,0.009966610925150705,0.8715333175944749,0.009027609603289927,15.5,0.07028287258550416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,0.10910546715626276,low,0.5,roundabout,Roundabout,0.9554801960293563,0.01353597346454651,1.3975122532264754,0.11763257602416098,2.627666666666667,0.10493701814792432,0.4713333333333333,0.012578641509408794,0.9475792699786397,0.008826160517632829,20.5,0.051438790607364206,2.007542332276163,-86.61112840485765,-54.269636848822365,2.0202020202020137,8.725535885886696,32.25806451612903,-26.811769759716025
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,0.10910546715626276,low,0.5,flyover,Flyover,0.9366760282460341,0.013544169935797728,8.797448751523154,0.6407955649382575,4.908666666666667,0.39055003947424355,0.462,0.009966610925150705,0.882265640521886,0.007903530100480068,15.333333333333334,0.07064362294625452,0.0,-15.716007908303716,-14.572456201415465,0.0,1.2314300223235832,-1.0752688172042972,0.513283460791231
