importance_rank,osm_node_id,latitude,longitude,street_names,betweenness_centrality,design,design_name,completion_rate,completion_rate_std,avg_waiting_time_s,avg_waiting_time_s_std,avg_queue_length,avg_queue_length_std,throughput_veh_s,throughput_veh_s_std,traffic_efficiency,traffic_efficiency_std,avg_path_time_s,graph_efficiency,completion_rate_change_pct,avg_waiting_time_s_change_pct,avg_queue_length_change_pct,throughput_veh_s_change_pct,traffic_efficiency_change_pct,avg_path_time_s_change_pct,graph_efficiency_change_pct
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,0.1701371889024888,four_way,Existing Signalized Four-Way,0.9614916736498952,0.00594194329756118,11.195727507939347,0.7489691829928637,12.036999999999999,0.8897055692755889,0.9466666666666667,0.01834847859269719,0.8643496906606362,0.004638187675625844,16.0,0.06483638910109499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,0.1701371889024888,roundabout,Roundabout,0.9709445196048604,0.004650140928609695,0.17098969464955707,0.01705273171891977,3.086,0.07861014918924628,0.956,0.01948218559493662,0.9642212145436346,0.004140970724594655,20.0,0.051565279949539834,0.9831438185087434,-98.47272368384901,-74.36238265348508,0.9859154929577434,11.554527636455227,25.0,-20.46861235727118
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,0.1701371889024888,flyover,Flyover,0.9678939353023444,0.004608327281568212,9.574402128527694,0.6756319484754125,10.225333333333333,0.7798628084477421,0.9530000000000001,0.019590247006553506,0.8802987318198522,0.005515656366098275,15.833333333333334,0.06563003989474578,0.6658676125759572,-14.481643807978578,-15.050815540970888,0.6690140845070507,1.8452070188196539,-1.041666666666663,1.2240823473579088
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,0.1701371889024888,underpass,Underpass,0.9678939353023444,0.004608327281568212,9.574402128527694,0.6756319484754125,10.225333333333333,0.7798628084477421,0.9530000000000001,0.019590247006553506,0.8802987318198522,0.005515656366098275,15.833333333333334,0.06563003989474578,0.6658676125759572,-14.481643807978578,-15.050815540970888,0.6690140845070507,1.8452070188196539,-1.041666666666663,1.2240823473579088
2,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,0.1164121787025704,four_way,Existing Signalized Four-Way,0.8027111807730272,0.010679015517415734,10.364335504693566,0.7551905729220818,11.241333333333333,0.7506674067491914,0.7903333333333333,0.018055470085267804,0.7754427302440557,0.009836782190471047,107.0,0.014945751150916144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,0.1164121787025704,roundabout,Roundabout,0.8216780684699513,0.020448292577617,0.1752744862368505,0.018961914798713515,2.8596666666666666,0.056739169304223507,0.809,0.024979991993593586,0.8760805990975717,0.012455059546578275,111.0,0.013810867307030277,2.362853309039326,-98.30886904271408,-74.56114339935952,2.361872627583305,12.9781175228559,3.7383177570093453,-7.593354341486551
2,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,0.1164121787025704,flyover,Flyover,0.8067846759282695,0.009915877431640957,9.178061141143703,0.6340482081618739,9.597333333333333,0.6530446641182617,0.7943333333333333,0.017178798302300183,0.7878619697913491,0.00869061989548245,106.83333333333333,0.014950923921452041,0.5074671005976893,-11.44573487622675,-14.624599691614282,0.5061155630535643,1.601567602985289,-0.15576323987539384,0.034610308198391414
2,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,0.1164121787025704,underpass,Underpass,0.8067846759282695,0.009915877431640957,9.178061141143703,0.6340482081618739,9.597333333333333,0.6530446641182617,0.7943333333333333,0.017178798302300183,0.7878619697913491,0.00869061989548245,106.83333333333333,0.014950923921452041,0.5074671005976893,-11.44573487622675,-14.624599691614282,0.5061155630535643,1.601567602985289,-0.15576323987539384,0.034610308198391414
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,0.10910546715626276,four_way,Existing Signalized Four-Way,0.9594536750457656,0.0064086691982754625,11.99781329737873,0.8309608964755998,12.785333333333334,0.9900888848987245,0.9446666666666667,0.01877942136133768,0.8578556355516375,0.005586845880916826,15.5,0.07028287258550416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,0.10910546715626276,roundabout,Roundabout,0.9729624553332086,0.0037906262970146504,0.17791912586415806,0.017624393662212662,3.094,0.08335066486437477,0.958,0.01998332638309583,0.9653393165147673,0.004272770058172822,19.5,0.05440209028444321,1.4079658704521187,-98.5170703906267,-75.80039628741267,1.411432604093152,12.529343692428311,25.806451612903224,-22.595522517581838
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,0.10910546715626276,flyover,Flyover,0.9594536750457656,0.0064086691982754625,9.756438259229927,0.6455782018805105,10.502333333333333,0.7620313496030056,0.9446666666666667,0.01877942136133768,0.8736447723937323,0.005962180588856063,15.333333333333334,0.07064362294625452,0.0,-18.681529563712214,-17.85639795599125,0.0,1.8405354220167518,-1.0752688172042972,0.513283460791231
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,0.10910546715626276,underpass,Underpass,0.9594536750457656,0.0064086691982754625,9.756438259229927,0.6455782018805105,10.502333333333333,0.7620313496030056,0.9446666666666667,0.01877942136133768,0.8736447723937323,0.005962180588856063,15.333333333333334,0.07064362294625452,0.0,-18.681529563712214,-17.85639795599125,0.0,1.8405354220167518,-1.0752688172042972,0.513283460791231
4,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,0.10360159118727051,four_way,Existing Signalized Four-Way,0.9032486362681587,0.008986148411198927,11.113139528854722,0.7178172837238683,11.829,0.803956604688476,0.8893333333333333,0.019194906731850623,0.8305024169970604,0.008583521245646182,51.0,0.02158665837694226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,0.10360159118727051,roundabout,Roundabout,0.9131004228225554,0.009594002519359154,0.17223850402004517,0.01809735435231904,3.0036666666666667,0.07316192087873771,0.899,0.018061622912192078,0.9300372019787975,0.005493495452376931,55.0,0.01975458141607925,1.090705942839858,-98.45013640319338,-74.60760278411811,1.0869565217391357,11.984888056272734,7.8431372549019605,-8.487079977232316
4,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,0.10360159118727051,flyover,Flyover,0.9032486362681587,0.008986148411198927,9.626458266653513,0.6238009703848885,10.169,0.7007691012975195,0.8893333333333333,0.019194906731850623,0.8416435845744145,0.008935601263174841,50.833333333333336,0.021629327774450372,0.0,-13.377689161025236,-14.033307971933384,0.0,1.3414973092599074,-0.32679738562091043,0.1976655986444345
4,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,0.10360159118727051,underpass,Underpass,0.9032486362681587,0.008986148411198927,9.626458266653513,0.6238009703848885,10.169,0.7007691012975195,0.8893333333333333,0.019194906731850623,0.8416435845744145,0.008935601263174841,50.833333333333336,0.021629327774450372,0.0,-13.377689161025236,-14.033307971933384,0.0,1.3414973092599074,-0.32679738562091043,0.1976655986444345
5,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,0.10206956344349247,four_way,Existing Signalized Four-Way,0.9226013321839697,0.010281653420087999,11.780485462013855,0.7179184401225384,12.405,0.8158179263100862,0.9083333333333333,0.01751190071541824,0.837688566763992,0.008855353614038773,43.0,0.03170236399403066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,0.10206956344349247,roundabout,Roundabout,0.9225988295873898,0.011091521748916023,0.17413079003862064,0.0184233921885578,3.02,0.06199462342278831,0.9083333333333333,0.018104634152000365,0.935615265543905,0.006005002467700319,47.0,0.027250171392005747,-0.00027125438610979406,-98.52187084649351,-75.65497783151956,0.0,11.690108074198248,9.30232558139535,-14.04372431930701
5,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,0.10206956344349247,flyover,Flyover,0.9229330071425104,0.010444672693156737,10.09487635073211,0.6047755711453696,10.551666666666666,0.6917827211873198,0.9086666666666666,0.01796292478040996,0.8501257248066176,0.009151511565998366,42.833333333333336,0.03174944497331503,0.03594997611325346,-14.30848598486869,-14.940212279994627,0.03669724770641798,1.4846995095887103,-0.3875968992248007,0.14850936445380494
5,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,0.10206956344349247,underpass,Underpass,0.9229330071425104,0.010444672693156737,10.09487635073211,0.6047755711453696,10.551666666666666,0.6917827211873198,0.9086666666666666,0.01796292478040996,0.8501257248066176,0.009151511565998366,42.833333333333336,0.03174944497331503,0.03594997611325346,-14.30848598486869,-14.940212279994627,0.03669724770641798,1.4846995095887103,-0.3875968992248007,0.14850936445380494
6,2739129171,13.8694104,100.7749543,วัดสุขใจ 36,0.09250968992248063,four_way,Existing Signalized Four-Way,0.8993031023994853,0.013466469042750902,11.517609943572392,0.9458533622400911,12.314,0.964950545652758,0.8853333333333333,0.016172679294277598,0.8251977121267894,0.010770313127792178,46.0,0.04728105833689917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2739129171,13.8694104,100.7749543,วัดสุขใจ 36,0.09250968992248063,roundabout,Roundabout,0.9161846774349846,0.009891865642126603,0.17170508573877324,0.016551946307551548,3.004,0.09242774956088062,0.902,0.016411378166788244,0.9318701227402295,0.004966871322942947,50.0,0.036994749266090726,1.8771841207326536,-98.50919516653195,-75.60500243625143,1.8825301204819338,12.92689122204573,8.695652173913043,-21.755665868377534
6,2739129171,13.8694104,100.7749543,วัดสุขใจ 36,0.09250968992248063,flyover,Flyover,0.8898797045058632,0.018835547597523736,12.559195062448351,1.3142274480033473,13.728666666666667,1.8694700377974027,0.876,0.018153665072253473,0.8119966869837929,0.016953202226483246,45.833333333333336,0.04730742964491604,-1.0478555971261503,9.043413728880743,11.488278923718266,-1.0542168674698764,-1.5997408801550552,-0.362318840579705,0.055775629701360574
6,2739129171,13.8694104,100.7749543,วัดสุขใจ 36,0.09250968992248063,underpass,Underpass,0.8898797045058632,0.018835547597523736,12.559195062448351,1.3142274480033473,13.728666666666667,1.8694700377974027,0.876,0.018153665072253473,0.8119966869837929,0.016953202226483246,45.833333333333336,0.04730742964491604,-1.0478555971261503,9.043413728880743,11.488278923718266,-1.0542168674698764,-1.5997408801550552,-0.362318840579705,0.055775629701360574
7,3017429961,13.8311443,100.7610659,ถนนประชาร่วมใจ,0.08698490412076704,four_way,Existing Signalized Four-Way,0.890067926281563,0.013194854144032766,10.894737931136733,0.7062545996885076,11.737333333333334,0.8511166521432625,0.8763333333333333,0.020368821489936254,0.8238468193839505,0.010406745400589732,60.0,0.032397035306635236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3017429961,13.8311443,100.7610659,ถนนประชาร่วมใจ,0.08698490412076704,roundabout,Roundabout,0.898819018394126,0.011182278560395232,0.17320157223519092,0.018844869615200273,2.969,0.053360409793528935,0.885,0.021499353995462808,0.9216664464956759,0.007818987036883957,64.0,0.026287290337957053,0.9831937377097191,-98.4102272736622,-74.70464614336022,0.988969189806015,11.873521243290359,6.666666666666667,-18.858963207126692
7,3017429961,13.8311443,100.7610659,ถนนประชาร่วมใจ,0.08698490412076704,flyover,Flyover,0.8947933927643307,0.01191142994181769,9.615553230288466,0.5993411159076156,10.091333333333333,0.7502513652844032,0.881,0.02029230834029924,0.8368645019953463,0.009175605369040243,59.833333333333336,0.032410935779251304,0.5309107702048437,-11.741307674711548,-14.023628308531189,0.5325218714340101,1.5801095913837544,-0.27777777777777385,0.0429066193387812
7,3017429961,13.8311443,100.7610659,ถนนประชาร่วมใจ,0.08698490412076704,underpass,Underpass,0.8947933927643307,0.01191142994181769,9.615553230288466,0.5993411159076156,10.091333333333333,0.7502513652844032,0.881,0.02029230834029924,0.8368645019953463,0.009175605369040243,59.833333333333336,0.032410935779251304,0.5309107702048437,-11.741307674711548,-14.023628308531189,0.5325218714340101,1.5801095913837544,-0.27777777777777385,0.0429066193387812
