osm_node_id,latitude,longitude,street_names,highway_types,in_degree,out_degree,fully_bidirectional,traffic_signals,junction,minimum_branch_angle,maximum_branch_angle,cross_score,likely_geometric_cross,osm_url,branch_1_neighbor,branch_1_bearing,branch_1_street,branch_1_highway,branch_2_neighbor,branch_2_bearing,branch_2_street,branch_2_highway,branch_3_neighbor,branch_3_bearing,branch_3_street,branch_3_highway,branch_4_neighbor,branch_4_bearing,branch_4_street,branch_4_highway
3840059190,13.8582401,100.7026011,,residential,4,4,True,False,,89.09,90.91,0.9949,True,https://www.openstreetmap.org/node/3840059190,3840059189,90.26,,residential,3840059180,179.35,,residential,3840059188,269.35,,residential,3840059198,359.35,,residential
3841909847,13.833072,100.7175603,นลิน 1 ซอย 2; นลิน 2,residential,4,4,True,False,,89.21,90.92,0.9949,True,https://www.openstreetmap.org/node/3841909847,3841909848,88.0,นลิน 1 ซอย 2,residential,3841909840,177.2,นลิน 2,residential,3841909846,268.13,,residential,3841909856,358.08,นลิน 2,residential
8359505794,13.9131992,100.7039693,,residential,4,4,True,False,,89.24,90.75,0.9948,True,https://www.openstreetmap.org/node/8359505794,8359505793,40.54,,residential,8359505796,129.78,,residential,8359505783,219.97,,residential,8359505806,309.79,,residential
353332266,13.8374734,100.6940855,,residential,4,4,True,False,,89.5,90.83,0.9947,True,https://www.openstreetmap.org/node/353332266,353332268,65.4,,residential,353332190,156.23,,residential,353332264,245.73,,residential,353332325,335.86,,residential
8919227887,13.8284028,100.7088047,,residential,4,4,True,False,,89.04,90.49,0.9947,True,https://www.openstreetmap.org/node/8919227887,8919227886,79.65,,residential,3845068435,169.99,,residential,8919227888,260.48,,residential,3845068448,349.52,,residential
3840058871,13.8515322,100.704839,,residential,4,4,True,False,,89.34,90.65,0.9946,True,https://www.openstreetmap.org/node/3840058871,3840058873,87.54,,residential,3840058837,177.85,,residential,3840058870,268.5,,residential,3840058900,357.84,,residential
3840087412,13.8575863,100.6967439,,residential,4,4,True,False,,89.42,90.98,0.9946,True,https://www.openstreetmap.org/node/3840087412,3840087424,0.32,,residential,3840087413,89.96,,residential,3840087401,179.39,,residential,3840087411,269.34,,residential
3840087430,13.8580304,100.6953901,,residential,4,4,True,False,,89.06,90.69,0.9946,True,https://www.openstreetmap.org/node/3840087430,3840087431,89.82,,residential,3840087417,180.51,,residential,3840087427,269.57,,residential,3840087451,359.86,,residential
2562521955,13.8736168,100.7205513,,residential,4,4,True,False,,89.38,91.0,0.9945,True,https://www.openstreetmap.org/node/2562521955,2562521956,89.67,,residential,2562521958,179.05,,residential,8061345511,270.05,,residential,2562521952,359.67,,residential
3053347437,13.8686377,100.7136369,,residential,4,4,True,False,,89.47,90.52,0.9945,True,https://www.openstreetmap.org/node/3053347437,3053347129,89.18,,residential,3053347073,178.73,,residential,3053347465,269.25,,residential,3053347097,358.71,,residential
3841547717,13.8487677,100.7025099,,residential,4,4,True,False,,89.4,90.6,0.9945,True,https://www.openstreetmap.org/node/3841547717,3841547718,88.62,,residential,3841547699,178.24,,residential,3841547714,267.64,,residential,3841547725,358.24,,residential
5941639243,13.8908005,100.7190365,,residential,4,4,True,False,,89.37,90.55,0.9945,True,https://www.openstreetmap.org/node/5941639243,5941639244,88.91,,residential,5941639240,179.46,,residential,5941639242,269.91,,residential,5941639246,359.28,,residential
7908343248,13.8521403,100.7085494,,residential,4,4,True,False,,89.13,90.87,0.9945,True,https://www.openstreetmap.org/node/7908343248,7908343247,87.39,,residential,7908343245,177.5,,residential,7908343249,266.63,,residential,7908343251,357.5,,residential
