importance_rank,osm_node_id,latitude,longitude,street_names,demand_level,total_demand_rate,design,design_name,completion_rate,avg_waiting_time_s,avg_queue_length,throughput_veh_s,traffic_efficiency
26,6128822544,13.8408751,100.698682,ถนนสุเหร่าคลองหนึ่ง; สุเหร่าคลองหนึ่ง 2,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,26.0,0.30333333333333334,0.011666666666666667,0.7068159660492057
27,1669530708,13.8365706,100.7693233,ถนนประชาร่วมใจ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,14.964285714285714,0.6983333333333334,0.04666666666666667,0.7682042807783194
28,5941658256,13.8956484,100.7134093,ถนนไทยรามัญ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,10.11111111111111,0.6066666666666667,0.06,0.8205582650825768
29,5941663059,13.8953657,100.7106823,ถนนไทยรามัญ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,9.657894736842104,0.6116666666666667,0.06333333333333334,0.8254708142852869
30,4688947276,13.8947865,100.7075883,ถนนไทยรามัญ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,12.621621621621621,0.7783333333333333,0.06166666666666667,0.7868547526570664
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,8.75,0.8166666666666667,0.09333333333333334,0.8274650893347155
2,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,11.84375,0.6316666666666667,0.05333333333333334,0.800899709734305
3,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,7.625,0.8133333333333334,0.10666666666666667,0.8414915485949508
4,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,16.433962264150942,1.4516666666666667,0.08833333333333333,0.7262119248963069
5,2739129171,13.8694104,100.7749543,วัดสุขใจ 36,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,17.64864864864865,1.0883333333333334,0.06166666666666667,0.7298649345996869
